DC-AWS-US East (Virginia),39.0469,-77.4903,N. America,
DC-AWS-Europe (London),51.5088,-0.093,Europe,
DC-AWS-South America (Sao Paulo),-23.5335,-46.6359,S. America,
DC-AWS-Asia Pacific (Tokyo),35.6893,139.6899,Asia,
DC-AWS-Asia Pacific (Singapore),1.2929,103.8547,Asia,
DC-AWS-Canada (Central),45.5075,-73.5887,N. America,
DC-AWS-US East (Ohio),39.9587,-82.9987,N. America,
DC-AWS-US West (N. California),37.1835,-121.7714,N. America,
DC-AWS-US West (Oregon),45.8234,-119.7257,N. America,
DC-AWS-Asia Pacific (Mumbai),19.0748,72.8856,Asia,
DC-AWS-Asia Pacific (Osaka),34.6946,135.5021,Asia,
DC-AWS-Asia Pacific (Seoul),37.4585,126.7015,Asia,
DC-AWS-Asia Pacific (Sidney),-33.8715,151.2006,Australia,
DC-AWS-EU (Frankfurt),50.1188,8.6843,Europe,
DC-AWS-EU (Ireland),53.3379,-6.2591,Europe,
DC-AWS-Europe (Paris),48.4323,2.4075,Europe,
DC-AWS-EU (Stockholm),59.3287,18.0717,Europe,
