,AWS-01,AWS-02,AWS-03,AWS-04,AWS-05,AWS-06,AWS-07,AWS-08,AWS-09,AWS-10,AWS-11,AWS-12,AWS-13,AWS-14,AWS-15,AWS-16,AWS-17
AWS-01,0,5919.17,7662.77,10870.07,15526.65,786.55,483.25,3840.83,3504.06,12854.15,11140.66,11154.98,15673.82,6548.3,5461.14,6207.32,6646.09
AWS-02,5919.17,0,9497.1,9556.81,10852.52,5223.72,6208.11,8641.98,7750.16,7189.59,9497.31,8853.29,16990.64,635.28,464.73,385.94,1431
AWS-03,7662.77,9497.1,0,18531.6,15986.23,8146.55,8002.56,10350.82,10648.55,13774.11,18755.97,18340.65,13358.27,9828.09,9389.8,9368.86,10925.17
AWS-04,10870.07,9556.81,18531.6,0,5317.24,10387.62,10536.01,8354.46,7969.29,6722.83,396.24,1175.37,7826.4,9330.62,9585.19,9748.68,8168.72
AWS-05,15526.65,10852.52,15986.23,5317.24,0,14804.32,15374.72,13666.81,13258.54,3909.59,4953.88,4651.75,6298.06,10264.85,11206.61,10739.82,9644.32
AWS-06,786.55,5223.72,8146.55,10387.62,14804.32,0,984.39,4063.29,3534.27,12075.64,10629.1,10568.02,16027.73,5845.01,4761.01,5530.84,5882.05
AWS-07,483.25,6208.11,8002.56,10536.01,15374.72,984.39,0,3358.17,3033.88,12990.04,10822.5,10888.51,15222.44,6829.15,5745.38,6514.02,6837.04
AWS-08,3840.83,8641.98,10350.82,8354.46,13666.81,4063.29,3358.17,0,975.56,13572.85,8726.2,9141.11,11965.12,9161.67,8199.64,9014.27,8664.31
AWS-09,3504.06,7750.16,10648.55,7969.29,13258.54,3534.27,3033.88,975.56,0,12686.78,8317.33,8626.8,12561.87,8247.17,7318.41,8128.29,7705.04
AWS-10,12854.15,7189.59,13774.11,6722.83,3909.59,12075.64,12990.04,13572.85,12686.78,0,6347.08,5568.8,10154.95,6564.08,7603.29,7004.51,6228.95
AWS-11,11140.66,9497.31,18755.97,396.24,4953.88,10629.1,10822.5,8726.2,8317.33,6347.08,0,848.05,7797.21,9235.21,9554.35,9668.29,8090.23
AWS-12,11154.98,8853.29,18340.65,1175.37,4651.75,10568.02,10888.51,9141.11,8626.8,5568.8,848.05,0,8326.29,8544.13,8951.97,8994.5,7428.78
AWS-13,15673.82,16990.64,13358.27,7826.4,6298.06,16027.73,15222.44,11965.12,12561.87,10154.95,7797.21,8326.29,0,16481.29,17214.23,16972.4,15595.08
AWS-14,6548.3,635.28,9828.09,9330.62,10264.85,5845.01,6829.15,9161.67,8247.17,6564.08,9235.21,8544.13,16481.29,0,1087.17,492.24,1185.76
AWS-15,5461.14,464.73,9389.8,9585.19,11206.61,4761.01,5745.38,8199.64,7318.41,7603.29,9554.35,8951.97,17214.23,1087.17,0,815.74,1629
AWS-16,6207.32,385.94,9368.86,9748.68,10739.82,5530.84,6514.02,9014.27,8128.29,7004.51,9668.29,8994.5,16972.4,492.24,815.74,0,1580.06
AWS-17,6646.09,1431,10925.17,8168.72,9644.32,5882.05,6837.04,8664.31,7705.04,6228.95,8090.23,7428.78,15595.08,1185.76,1629,1580.06,0
